filename,datapath,benchmark,branch_predictor,sim_num_insn,sim_CPI,bpred_nottaken.misses,bpred_bimod.misses,bpred_2lev.misses,bpred_comb.misses,BM,BMPI,CPI_NORM,BMPI_NORM
0-0.inorder.simout,inorder,bzip2,perfect,2000000.0,1.8429,,,,,0.0,0.0,0.7910800137362637,0.0
0-0.outorder.simout,outorder,bzip2,perfect,2000001.0,1.1484,,,,,0.0,0.0,0.49296016483516486,0.0
0-1.inorder.simout,inorder,bzip2,nottaken,2000000.0,2.3296,194858.0,,,,194858.0,0.097429,1.0,1.0
0-1.outorder.simout,outorder,bzip2,nottaken,2000001.0,1.6412,194858.0,,,,194858.0,0.09742895128552435,0.7044986263736264,0.99999950000025
0-2.inorder.simout,inorder,bzip2,bimod,2000000.0,1.8434,,151.0,,,151.0,7.55e-05,0.7912946428571428,0.000774923277463589
0-2.outorder.simout,outorder,bzip2,bimod,2000001.0,1.1427,,151.0,,,151.0,7.549996225001887e-05,0.49051339285714285,0.0007749228900021439
0-3.inorder.simout,inorder,bzip2,2lev (1-bit),2000000.0,1.8434,,,213.0,,213.0,0.0001065,0.7912946428571428,0.0010931036960247975
0-3.outorder.simout,outorder,bzip2,2lev (1-bit),2000001.0,1.1432,,,342.0,,342.0,0.00017099991450004274,0.49072802197802196,0.0017551233667598225
0-4.inorder.simout,inorder,bzip2,2lev (4-bit),2000000.0,1.8436,,,280.0,,280.0,0.00014,0.7913804945054944,0.0014369438257602972
0-4.outorder.simout,outorder,bzip2,2lev (4-bit),2000001.0,1.1433,,,360.0,,360.0,0.000179999910000045,0.49077094780219777,0.0018474982807998132
0-5.inorder.simout,inorder,bzip2,combined,2000000.0,1.8433,,,,171.0,171.0,8.55e-05,0.7912517170329669,0.000877562122160753
0-5.outorder.simout,outorder,bzip2,combined,2000001.0,1.1427,,,,195.0,195.0,9.749995125002437e-05,0.49051339285714285,0.0010007282354332321
1-0.inorder.simout,inorder,mcf,perfect,2000000.0,1.7946,,,,,0.0,0.0,0.7726352951306669,0.0
1-0.outorder.simout,outorder,mcf,perfect,2000000.0,0.7109,,,,,0.0,0.0,0.3060662160416756,0.0
1-1.inorder.simout,inorder,mcf,nottaken,2000000.0,2.3227,215563.0,,,,215563.0,0.1077815,1.0,1.0
1-1.outorder.simout,outorder,mcf,nottaken,2000000.0,1.4998,215563.0,,,,215563.0,0.1077815,0.6457140396951823,1.0
1-2.inorder.simout,inorder,mcf,bimod,2000000.0,1.8186,,9503.0,,,9503.0,0.0047515,0.7829680974727687,0.04408455996622797
